Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/endpoint,9940,0,9,9.908915221327925,6.612199999992185,247.60400000000084,4.0,100.23582156237785,0.0,9,10,10,10,11,11,13,15,130,250,250
,Aggregated,9940,0,9,9.908915221327925,6.612199999992185,247.60400000000084,4.0,100.23582156237785,0.0,9,10,10,10,11,11,13,15,130,250,250
