Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/endpoint,92367,0,23,26.58368869401403,7.230299999999801,381.79730000000234,4.0,835.1158334524631,0.0,23,25,26,27,30,38,79,120,280,330,380
,Aggregated,92367,0,23,26.58368869401403,7.230299999999801,381.79730000000234,4.0,835.1158334524631,0.0,23,25,26,27,30,38,79,120,280,330,380
