Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/endpoint,148459,0,43,46.94154265420025,8.44919999999938,370.754699999992,4.0,943.094466166908,0.0,43,46,49,51,58,65,92,130,260,330,370
,Aggregated,148459,0,43,46.94154265420025,8.44919999999938,370.754699999992,4.0,943.094466166908,0.0,43,46,49,51,58,65,92,130,260,330,370
