Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/endpoint,99440,0,89,92.28019691773945,9.26310000000008,408.2422999999977,4.0,940.1051351259839,0.0,89,94,98,100,120,130,180,210,310,320,410
,Aggregated,99440,0,89,92.28019691773945,9.26310000000008,408.2422999999977,4.0,940.1051351259839,0.0,89,94,98,100,120,130,180,210,310,320,410
